FluA,FluB,RV,RSV,AdV,PIV
0.00980294117647054,0.00490147058823527,0.499999999999999,0.588235294117646,0.823529411764704,0.985294117647056
0.00784235294117644,0.00392117647058822,0.494117647058823,0.529411764705882,0.811764705882352,0.976470588235293
0.00724565217391304,0.00362282608695652,0.499999999999999,0.554347826086956,0.771739130434782,0.956521739130434
0.00748988764044939,0.00374494382022469,0.539325842696629,0.584269662921348,0.831460674157303,0.988764044943819
0.00529047619047619,0.00264523809523809,0.603174603174603,0.626984126984127,0.785714285714285,0.968253968253967
0.00432857142857143,0.00216428571428571,0.655844155844155,0.688311688311688,0.805194805194804,0.987012987012985
0.00383103448275861,0.00191551724137931,0.706896551724138,0.741379310344827,0.827586206896551,0.994252873563217
0.00368287292817679,0.00184143646408839,0.685082872928176,0.718232044198894,0.823204419889501,0.988950276243092
0.00310046511627907,0.00155023255813953,0.627906976744186,0.646511627906976,0.753488372093022,0.981395348837208
0.00362282608695652,0.00181141304347826,0.684782608695652,0.717391304347826,0.79891304347826,0.989130434782607
0.003471875,0.0017359375,0.671874999999999,0.697916666666666,0.802083333333332,0.994791666666665
0.00336666666666667,0.00168333333333333,0.6010101010101,0.63131313131313,0.782828282828281,0.974747474747472
0.00314433962264151,0.00157216981132075,0.622641509433961,0.65566037735849,0.787735849056603,0.96698113207547
0.00296266666666666,0.00148133333333333,0.555555555555555,0.577777777777778,0.742222222222222,0.982222222222222
0.00352698412698413,0.00176349206349206,0.481481481481481,0.523809523809524,0.73015873015873,0.973544973544973
0.003333,0.0016665,0.505,0.59,0.79,0.965
0.00288571428571428,0.00144285714285714,0.489177489177488,0.606060606060604,0.744588744588742,0.965367965367962
0.0264523809523809,0.0132261904761904,0.547619047619047,0.634920634920634,0.793650793650792,0.980158730158728
0.06666,0.03333,0.5,0.608,0.776,0.976
0.093740625,0.0468703125,0.45703125,0.61328125,0.82421875,0.94140625
0.183805147058823,0.0919025735294117,0.485294117647058,0.602941176470587,0.768382352941175,0.952205882352939
0.155828571428571,0.0779142857142855,0.46103896103896,0.629870129870128,0.831168831168829,0.961038961038958
0.312138095238095,0.156069047619048,0.642857142857142,0.793650793650792,0.857142857142855,0.992063492063489
0.3333,0.16665,0.653846153846153,0.776923076923076,0.826923076923076,0.973076923076922
0.360324324324324,0.180162162162162,0.702702702702702,0.805405405405404,0.889189189189188,0.975675675675674
0.347791304347826,0.173895652173913,0.695652173913042,0.808695652173911,0.895652173913041,0.967391304347824
0.311719424460431,0.155859712230216,0.640287769784172,0.802158273381294,0.874100719424459,0.964028776978416
0.313251879699248,0.156625939849624,0.639097744360902,0.774436090225563,0.887218045112781,0.964285714285713
0.303690205011389,0.151845102505695,0.612756264236901,0.749430523917994,0.890660592255123,0.943052391799542
0.291050704225352,0.145525352112676,0.605633802816901,0.814084507042253,0.907042253521126,0.957746478873239
0.249975,0.1249875,0.576086956521739,0.869565217391304,0.945652173913043,0.975543478260869
0.166188365650969,0.0830941828254845,0.470914127423821,0.858725761772851,0.941828254847643,0.977839335180053
0.130498412698412,0.0652492063492061,0.423280423280422,0.846560846560845,0.936507936507935,0.984126984126983
0.10330350877193,0.0516517543859649,0.444444444444444,0.7953216374269,0.888888888888888,0.947368421052631
0.0973928571428571,0.0486964285714285,0.405844155844155,0.788961038961038,0.889610389610388,0.935064935064933
0.0902964143426293,0.0451482071713146,0.434262948207171,0.824701195219123,0.872509960159362,0.940239043824701
0.0939299999999994,0.0469649999999997,0.422727272727271,0.786363636363634,0.863636363636361,0.945454545454543
0.087369902912621,0.0436849514563105,0.441747572815533,0.757281553398057,0.849514563106795,0.95145631067961
0.06666,0.03333,0.41578947368421,0.773684210526315,0.884210526315788,0.973684210526314
0.0617222222222222,0.0308611111111111,0.401234567901234,0.808641975308641,0.932098765432097,0.981481481481479
0.0563323943661972,0.0281661971830986,0.422535211267605,0.788732394366196,0.90845070422535,0.992957746478871
0.03749625,0.018748125,0.43125,0.7,0.85,0.96875
0.00404,0.00202,0.424242424242424,0.709090909090908,0.860606060606059,0.957575757575756
0.00524881889763779,0.0026244094488189,0.32283464566929,0.661417322834644,0.80314960629921,0.937007874015745
0.0053758064516129,0.00268790322580645,0.387096774193548,0.693548387096773,0.846774193548385,0.975806451612901
0.006666,0.003333,0.39,0.7,0.82,0.98
0.00812926829268292,0.00406463414634146,0.463414634146341,0.695121951219511,0.817073170731706,0.987804878048779
0.00843797468354426,0.00421898734177213,0.50632911392405,0.594936708860759,0.734177215189872,0.987341772151897
0.0102553846153846,0.00512769230769228,0.369230769230768,0.461538461538461,0.784615384615384,0.984615384615384
0.00938873239436618,0.00469436619718309,0.436619718309859,0.507042253521126,0.830985915492957,0.985915492957745
0.0101,0.00504999999999998,0.424242424242424,0.484848484848485,0.833333333333333,0.984848484848484
0.00994925373134324,0.00497462686567162,0.492537313432835,0.567164179104477,0.850746268656715,0.98507462686567
